date,newCases,newDeaths,newHosp,resultHosp,resultDeath,caseToDeath,caseToHosp,expectDeaths,expectHosp,deathDif,hospitalDif,date2,cases2,deaths2,hosp2,resultHosp2,resultDeath2,caseToDeath2,caseToHosp2
7/1/2021,27989,22,368,574,49,0.0018,0.02051,438,2324,19.9,4.0,1/18/2021,37535,599,4063,3116,587,0.0156,0.08302
7/2/2021,27125,27,389,568,63,0.0023,0.02094,330,2531,12.2,4.5,1/19/2021,33355,1610,4161,3112,406,0.0122,0.09330
7/3/2021,24885,18,390,602,49,0.0020,0.02419,927,1875,51.5,3.1,1/20/2021,38905,1820,4049,2931,1449,0.0372,0.07534
7/4/2021,24248,15,462,555,41,0.0017,0.02289,846,2016,56.4,3.6,1/21/2021,37892,1290,3636,3151,1322,0.0349,0.08316
7/5/2021,27334,9,515,549,25,0.0009,0.02008,621,2076,69.0,3.8,1/22/2021,40261,1401,3392,3058,915,0.0227,0.07595
7/6/2021,28773,37,574,588,19,0.0007,0.02044,870,2612,23.5,4.4,1/23/2021,33552,1348,3116,3046,1014,0.0302,0.09078
7/7/2021,32548,33,568,729,96,0.0029,0.02240,898,2915,27.2,4.0,1/24/2021,30004,610,3112,2687,828,0.0276,0.08955
7/8/2021,32551,35,602,749,73,0.0022,0.02301,547,3625,15.6,4.8,1/25/2021,22195,592,2931,2472,373,0.0168,0.11138
7/9/2021,35707,29,555,747,84,0.0024,0.02092,592,4278,20.4,5.7,1/26/2021,20089,1631,3151,2407,333,0.0166,0.11982
7/10/2021,32367,34,549,771,64,0.0020,0.02382,1345,3328,39.6,4.3,1/27/2021,25308,1725,3058,2602,1052,0.0416,0.10281
7/11/2021,31772,26,588,696,86,0.0027,0.02191,1109,2751,42.7,4.0,1/28/2021,28680,1239,3046,2483,1001,0.0349,0.08658
7/12/2021,34471,6,729,705,28,0.0008,0.02045,804,2798,134.0,4.0,1/29/2021,29079,1245,2687,2360,678,0.0233,0.08116
